songname,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,duration_ms,cluster_6_10
Let's Spend The Night Together,The Rolling Stones,Between The Buttons,0.562,0.7929999999999999,7,-7.774,1,0.0526,0.705,0.0,0.222,0.57,140.838,1QLr0zOu6fv5hLEHOwdr21,spotify:track:1QLr0zOu6fv5hLEHOwdr21,https://api.spotify.com/v1/tracks/1QLr0zOu6fv5hLEHOwdr21,215920,0
"Paint It, Black",The Rolling Stones,Aftermath,0.46399999999999997,0.795,1,-9.267000000000001,1,0.0926,0.0493,0.00244,0.39899999999999997,0.612,158.691,63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,202267,0
Ruby Tuesday,The Rolling Stones,Between The Buttons,0.524,0.5529999999999999,0,-10.767000000000001,1,0.0292,0.831,0.0,0.174,0.517,104.57799999999999,4hupcimlg3UBbW1kAQ6vrT,spotify:track:4hupcimlg3UBbW1kAQ6vrT,https://api.spotify.com/v1/tracks/4hupcimlg3UBbW1kAQ6vrT,196493,1
Love Reign O'er Me,The Who,Quadrophenia (Super Deluxe Edition),0.295,0.72,1,-9.51,1,0.0634,0.198,0.0467,0.0941,0.222,116.229,4Mqs0h95KAeNiGp7u4udlt,spotify:track:4Mqs0h95KAeNiGp7u4udlt,https://api.spotify.com/v1/tracks/4Mqs0h95KAeNiGp7u4udlt,349600,0
Barrel of a Gun - 2007 Remaster,Depeche Mode,Ultra (2007 Remaster),0.521,0.9490000000000001,4,-5.2170000000000005,1,0.0729,0.0221,0.00286,0.0614,0.706,165.87099999999998,5COH2h5ncTVFfAUhBM2J7k,spotify:track:5COH2h5ncTVFfAUhBM2J7k,https://api.spotify.com/v1/tracks/5COH2h5ncTVFfAUhBM2J7k,336293,0
It's No Good - 2007 Remaster,Depeche Mode,Ultra (2007 Remaster),0.601,0.7559999999999999,10,-6.48,0,0.0348,0.00861,0.0416,0.0821,0.185,99.07799999999999,04ARYAWkGZZhDbHqgvnYGf,spotify:track:04ARYAWkGZZhDbHqgvnYGf,https://api.spotify.com/v1/tracks/04ARYAWkGZZhDbHqgvnYGf,358520,2
Gloria - Live; 2007 Remaster,The Doors,The Very Best of the Doors,0.506,0.40700000000000003,9,-12.478,1,0.0429,0.0508,4.14e-06,0.28600000000000003,0.633,128.622,1b11chGCTSN26rsBt0WNYP,spotify:track:1b11chGCTSN26rsBt0WNYP,https://api.spotify.com/v1/tracks/1b11chGCTSN26rsBt0WNYP,378480,0
I Belong To You,Lenny Kravitz,5,0.69,0.664,5,-7.715,0,0.0542,0.00044699999999999997,0.0343,0.073,0.63,87.286,2zee8Zcesqwnnwliw2Jy8M,spotify:track:2zee8Zcesqwnnwliw2Jy8M,https://api.spotify.com/v1/tracks/2zee8Zcesqwnnwliw2Jy8M,257733,2
Frozen,Madonna,Frozen,0.706,0.633,1,-9.584,1,0.0419,0.267,0.0192,0.175,0.375,110.005,6lknMmJZALXxx7emwwZWLX,spotify:track:6lknMmJZALXxx7emwwZWLX,https://api.spotify.com/v1/tracks/6lknMmJZALXxx7emwwZWLX,120157,3
Ray of Light,Madonna,Ray of Light,0.561,0.909,3,-7.877999999999999,1,0.0312,0.00118,0.46,0.0713,0.71,127.17200000000001,4Fpsa3pYc3gozrxHRRPvR6,spotify:track:4Fpsa3pYc3gozrxHRRPvR6,https://api.spotify.com/v1/tracks/4Fpsa3pYc3gozrxHRRPvR6,320693,4
Mercy Mercy Me (The Ecology),Marvin Gaye,What's Going On,0.498,0.634,6,-12.16,0,0.0475,0.32799999999999996,0.748,0.0962,0.515,93.161,3IDc87lrpEHWFBASmgTgFV,spotify:track:3IDc87lrpEHWFBASmgTgFV,https://api.spotify.com/v1/tracks/3IDc87lrpEHWFBASmgTgFV,193573,4
Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),0.743,0.836,2,-6.465,1,0.11599999999999999,0.0804,0.0,0.384,0.82,113.375,39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,188987,3
Natural High - Single Version,Bloodstone,The Essentials: Bloodstone,0.332,0.371,4,-9.884,1,0.0396,0.7290000000000001,0.00021,0.17600000000000002,0.375,173.273,73etijhz7pV4Wx7GTANLpq,spotify:track:73etijhz7pV4Wx7GTANLpq,https://api.spotify.com/v1/tracks/73etijhz7pV4Wx7GTANLpq,249093,1
What It Feels Like for a Girl,Madonna,Music,0.67,0.627,8,-9.497,1,0.0478,0.201,0.00161,0.154,0.5820000000000001,104.988,6rQcK4xOzePDdrTg7Yv6d6,spotify:track:6rQcK4xOzePDdrTg7Yv6d6,https://api.spotify.com/v1/tracks/6rQcK4xOzePDdrTg7Yv6d6,283893,3
Crawling,Linkin Park,Hybrid Theory (Bonus Edition),0.58,0.7020000000000001,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.07600000000001,57BrRMwf9LrcmuOsyGilwr,spotify:track:57BrRMwf9LrcmuOsyGilwr,https://api.spotify.com/v1/tracks/57BrRMwf9LrcmuOsyGilwr,208960,0
Freedom! '90 - Remastered,George Michael,Listen Without Prejudice / MTV Unplugged (Deluxe),0.677,0.852,5,-10.856,1,0.0449,0.225,4.04e-05,0.0595,0.93,91.689,3tyTt5pEWblt96j1HsXiV5,spotify:track:3tyTt5pEWblt96j1HsXiV5,https://api.spotify.com/v1/tracks/3tyTt5pEWblt96j1HsXiV5,390862,3
In the End,Linkin Park,Hybrid Theory (Bonus Edition),0.556,0.8640000000000001,3,-5.87,0,0.0584,0.00958,0.0,0.209,0.4,105.14299999999999,60a0Rd6pjrkxjPbaKzXjfq,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,https://api.spotify.com/v1/tracks/60a0Rd6pjrkxjPbaKzXjfq,216880,2
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),0.49200000000000005,0.9690000000000001,9,-4.419,1,0.0491,0.0014,1.32e-06,0.0787,0.5379999999999999,95.13600000000001,3K4HG9evC7dg3N0R9cYqk4,spotify:track:3K4HG9evC7dg3N0R9cYqk4,https://api.spotify.com/v1/tracks/3K4HG9evC7dg3N0R9cYqk4,157333,0
Undercover (Of The Night) - Remastered 2009,The Rolling Stones,Undercover (2009 Re-Mastered),0.603,0.973,5,-4.454,0,0.17600000000000002,0.0272,0.00731,0.47200000000000003,0.408,122.756,4N8oxV3hvn8Efyo4yxp3LG,spotify:track:4N8oxV3hvn8Efyo4yxp3LG,https://api.spotify.com/v1/tracks/4N8oxV3hvn8Efyo4yxp3LG,273493,5
Waiting for That Day - 2010 Remastered Version,George Michael,Ladies & Gentlemen,0.611,0.826,0,-8.658,1,0.0452,0.149,0.000932,0.105,0.47200000000000003,172.61599999999999,3MbHf4tTjKKpIBRvuHj4yR,spotify:track:3MbHf4tTjKKpIBRvuHj4yR,https://api.spotify.com/v1/tracks/3MbHf4tTjKKpIBRvuHj4yR,290067,0
So Many Tears,2Pac,Me Against The World,0.899,0.6,1,-7.4510000000000005,1,0.154,0.0184,1.6800000000000002e-05,0.0725,0.586,92.71700000000001,0NzNKU2MJ9LCetT2uZMJH2,spotify:track:0NzNKU2MJ9LCetT2uZMJH2,https://api.spotify.com/v1/tracks/0NzNKU2MJ9LCetT2uZMJH2,239227,3
Sugar Hill,AZ,Doe Or Die,0.682,0.647,8,-7.332000000000001,1,0.18899999999999997,0.0006929999999999999,5.97e-06,0.0693,0.529,181.86,0lZWjBImx6kNe3WtOA09Xu,spotify:track:0lZWjBImx6kNe3WtOA09Xu,https://api.spotify.com/v1/tracks/0lZWjBImx6kNe3WtOA09Xu,249760,5
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],0.479,0.5489999999999999,11,-10.550999999999998,0,0.373,0.57,0.0235,0.127,0.5760000000000001,180.985,119c93MHjrDLJTApCVGpvx,spotify:track:119c93MHjrDLJTApCVGpvx,https://api.spotify.com/v1/tracks/119c93MHjrDLJTApCVGpvx,252187,5
Diary of a Madman,Gravediggaz,6 Feet Deep,0.735,0.684,4,-10.498,0,0.451,0.348,0.0,0.369,0.58,91.16799999999999,3Kf5NZ6FNS0mcizq0tgBZC,spotify:track:3Kf5NZ6FNS0mcizq0tgBZC,https://api.spotify.com/v1/tracks/3Kf5NZ6FNS0mcizq0tgBZC,273800,5
East 1999,Bone Thugs-N-Harmony,E. 1999 Eternal,0.878,0.607,11,-9.032,0,0.149,0.0748,0.0,0.659,0.735,129.472,55RXcZ0Mpwt97vj2Angnn1,spotify:track:55RXcZ0Mpwt97vj2Angnn1,https://api.spotify.com/v1/tracks/55RXcZ0Mpwt97vj2Angnn1,261773,2
Turn It Up / Fire It Up - Remix,Busta Rhymes,The Best of Busta Rhymes,0.8170000000000001,0.84,2,-8.597999999999999,1,0.0923,0.00511,0.00034500000000000004,0.28800000000000003,0.89,104.295,0Cwn4fq9ysV0PsfSew34bp,spotify:track:0Cwn4fq9ysV0PsfSew34bp,https://api.spotify.com/v1/tracks/0Cwn4fq9ysV0PsfSew34bp,237907,3
War,Edwin Starr,War And Peace,0.59,0.6709999999999999,1,-12.484000000000002,1,0.154,0.0939,0.0,0.248,0.736,109.333,4ZEEcEMGjkWOfZNBcIB9yE,spotify:track:4ZEEcEMGjkWOfZNBcIB9yE,https://api.spotify.com/v1/tracks/4ZEEcEMGjkWOfZNBcIB9yE,200267,3
Burning Down the House,Talking Heads,Burning Down the House / I Get Wild / Wild Gravity,0.779,0.87,5,-13.140999999999998,0,0.0574,0.00644,0.0107,0.0399,0.555,102.689,2VNfJpwdEQBLyXajaa6LWT,spotify:track:2VNfJpwdEQBLyXajaa6LWT,https://api.spotify.com/v1/tracks/2VNfJpwdEQBLyXajaa6LWT,241920,2
Take Me to the River - 2005 Remaster,Talking Heads,More Songs About Buildings and Food (Deluxe Version),0.66,0.485,2,-8.101,1,0.0258,0.242,0.0102,0.0585,0.8290000000000001,99.82799999999999,1oV1tu8utgHQjLJsEK9sVl,spotify:track:1oV1tu8utgHQjLJsEK9sVl,https://api.spotify.com/v1/tracks/1oV1tu8utgHQjLJsEK9sVl,302520,3
Family Affair,Mary J. Blige,No More Drama,0.9109999999999999,0.551,8,-3.75,0,0.0449,0.132,4.1200000000000005e-05,0.0863,0.9690000000000001,92.887,3aw9iWUQ3VrPQltgwvN9Xu,spotify:track:3aw9iWUQ3VrPQltgwvN9Xu,https://api.spotify.com/v1/tracks/3aw9iWUQ3VrPQltgwvN9Xu,265867,2
Trans-Europe Express - 2009 Remaster,Kraftwerk,Trans-Europe Express (2009 Remaster),0.878,0.611,1,-12.220999999999998,1,0.11800000000000001,0.0559,0.838,0.0527,0.718,107.65,3UjH6apk0ogZeIqhHbjrRU,spotify:track:3UjH6apk0ogZeIqhHbjrRU,https://api.spotify.com/v1/tracks/3UjH6apk0ogZeIqhHbjrRU,397373,4
Art For Art's Sake,10cc,How Dare You,0.6459999999999999,0.426,0,-10.629000000000001,1,0.048,0.0858,0.0727,0.0746,0.462,124.794,0FkFTZOJ5Dt4RG4gAWB74z,spotify:track:0FkFTZOJ5Dt4RG4gAWB74z,https://api.spotify.com/v1/tracks/0FkFTZOJ5Dt4RG4gAWB74z,359507,0
Good Morning Judge,10cc,Deceptive Bends,0.737,0.642,9,-9.492,1,0.0916,0.0185,0.00415,0.0726,0.467,106.742,1fMGRxKRtIKNyaMMGrzInM,spotify:track:1fMGRxKRtIKNyaMMGrzInM,https://api.spotify.com/v1/tracks/1fMGRxKRtIKNyaMMGrzInM,174667,3
Rock the Party,Benzino,Redemption,0.843,0.871,10,-5.796,0,0.142,0.29,0.0,0.0934,0.723,101.03,0yORE7Aw2erLpuYlws1SJJ,spotify:track:0yORE7Aw2erLpuYlws1SJJ,https://api.spotify.com/v1/tracks/0yORE7Aw2erLpuYlws1SJJ,227933,2
Also Sprach Zarathustra,Deodato,Live At Felt Forum - The 2001 Concert,0.44799999999999995,0.763,0,-11.657,1,0.0493,0.431,0.359,0.29100000000000004,0.513,117.93799999999999,6ywm0ilJ9ItgXRDg0yrJP1,spotify:track:6ywm0ilJ9ItgXRDg0yrJP1,https://api.spotify.com/v1/tracks/6ywm0ilJ9ItgXRDg0yrJP1,663133,0
Step On - 2007 Remaster,Happy Mondays,Pills 'N' Thrills And Bellyaches (Collector's Edition),0.595,0.889,7,-7.162999999999999,1,0.0332,1.12e-05,0.551,0.11800000000000001,0.45,105.15299999999999,4gAU0cHQJFxj1n2ZDiEIzG,spotify:track:4gAU0cHQJFxj1n2ZDiEIzG,https://api.spotify.com/v1/tracks/4gAU0cHQJFxj1n2ZDiEIzG,318507,4
By the Way,Red Hot Chili Peppers,By the Way (Deluxe Edition),0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,1f2V8U1BiWaC9aJWmpOARe,spotify:track:1f2V8U1BiWaC9aJWmpOARe,https://api.spotify.com/v1/tracks/1f2V8U1BiWaC9aJWmpOARe,216933,0
The Zephyr Song,Red Hot Chili Peppers,By the Way (Deluxe Edition),0.725,0.8029999999999999,2,-4.083,1,0.0337,0.013000000000000001,3.66e-05,0.0891,0.40299999999999997,117.391,1ndGB6rvxKYN9seCYO1dTF,spotify:track:1ndGB6rvxKYN9seCYO1dTF,https://api.spotify.com/v1/tracks/1ndGB6rvxKYN9seCYO1dTF,231933,0
Loser,Beck,Mellow Gold,0.654,0.611,2,-10.45,1,0.11900000000000001,0.0337,0.000178,0.405,0.7859999999999999,85.387,5PntSbMHC1ud6Vvl8x56qd,spotify:track:5PntSbMHC1ud6Vvl8x56qd,https://api.spotify.com/v1/tracks/5PntSbMHC1ud6Vvl8x56qd,235000,3
Jack-Ass,Beck,Odelay,0.7140000000000001,0.555,2,-6.664,1,0.0287,0.163,0.0,0.0942,0.831,106.516,7yRlbjPEW3iJQeJA4BrKxo,spotify:track:7yRlbjPEW3iJQeJA4BrKxo,https://api.spotify.com/v1/tracks/7yRlbjPEW3iJQeJA4BrKxo,252280,3
The New Pollution,Beck,Odelay (Deluxe Edition),0.6709999999999999,0.769,1,-6.529,1,0.0268,0.0287,0.00987,0.32,0.89,131.787,2fwKJNRWxlRTncgO9ufC1h,spotify:track:2fwKJNRWxlRTncgO9ufC1h,https://api.spotify.com/v1/tracks/2fwKJNRWxlRTncgO9ufC1h,219987,3
All She Wants To Do Is Dance,Don Henley,Building The Perfect Beast,0.7020000000000001,0.5579999999999999,7,-11.952,1,0.0288,0.0304,0.0,0.0528,0.903,114.932,4yCRCEAfCMRyqCpBSd0qDp,spotify:track:4yCRCEAfCMRyqCpBSd0qDp,https://api.spotify.com/v1/tracks/4yCRCEAfCMRyqCpBSd0qDp,269107,3
Sunset Grill,Don Henley,Building The Perfect Beast,0.557,0.5770000000000001,8,-12.175,1,0.027000000000000003,0.0796,2.3100000000000002e-05,0.0604,0.445,91.87700000000001,4I9AA9H57ySNSv1ZPinL4D,spotify:track:4I9AA9H57ySNSv1ZPinL4D,https://api.spotify.com/v1/tracks/4I9AA9H57ySNSv1ZPinL4D,379000,0
The Heart Of The Matter,Don Henley,The End Of The Innocence,0.579,0.529,2,-11.548,1,0.025,0.201,0.0,0.231,0.38,88.156,7jZ4UZAmg006Qx3rVuF7JI,spotify:track:7jZ4UZAmg006Qx3rVuF7JI,https://api.spotify.com/v1/tracks/7jZ4UZAmg006Qx3rVuF7JI,322600,0
The Last Worthless Evening,Don Henley,The End Of The Innocence,0.731,0.505,5,-11.334000000000001,1,0.0262,0.212,0.0,0.0409,0.396,99.99,5xFXOthzXYku3MvAlc5EKg,spotify:track:5xFXOthzXYku3MvAlc5EKg,https://api.spotify.com/v1/tracks/5xFXOthzXYku3MvAlc5EKg,362467,3
Get Over It,Eagles,Hell Freezes Over (Remaster 2018),0.507,0.915,2,-4.579,1,0.0953,0.051,0.000495,0.29100000000000004,0.61,164.96599999999998,3KSFUTxxJ2XqyrQkNwY7y8,spotify:track:3KSFUTxxJ2XqyrQkNwY7y8,https://api.spotify.com/v1/tracks/3KSFUTxxJ2XqyrQkNwY7y8,211720,0
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),0.579,0.508,2,-9.484,1,0.027000000000000003,0.0057399999999999994,0.0004940000000000001,0.0575,0.609,147.125,40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,391376,0
Take It Easy - 2013 Remaster,Eagles,Eagles (2013 Remaster),0.575,0.67,7,-10.39,1,0.0318,0.34299999999999997,4.95e-06,0.129,0.74,139.191,4yugZvBYaoREkJKtbG08Qr,spotify:track:4yugZvBYaoREkJKtbG08Qr,https://api.spotify.com/v1/tracks/4yugZvBYaoREkJKtbG08Qr,211578,3
Tequila Sunrise - 2013 Remaster,Eagles,Desperado (2013 Remaster),0.632,0.397,7,-12.855,1,0.0265,0.536,0.0421,0.106,0.731,110.57799999999999,1WYokrkFOb9TFVuTrmxTTt,spotify:track:1WYokrkFOb9TFVuTrmxTTt,https://api.spotify.com/v1/tracks/1WYokrkFOb9TFVuTrmxTTt,173057,1
Carolina in My Mind,James Taylor,Greatest Hits,0.579,0.267,4,-15.11,1,0.0348,0.11800000000000001,0.000562,0.132,0.353,74.899,2T5Ch09nefwckOu5NQvjIk,spotify:track:2T5Ch09nefwckOu5NQvjIk,https://api.spotify.com/v1/tracks/2T5Ch09nefwckOu5NQvjIk,238573,1
Shower the People - 2019 Remaster,James Taylor,In the Pocket (2019 Remaster),0.669,0.392,2,-13.777999999999999,0,0.0241,0.433,0.0,0.0842,0.552,98.646,1Pwcxq35Hl2kqwUVd5XCRg,spotify:track:1Pwcxq35Hl2kqwUVd5XCRg,https://api.spotify.com/v1/tracks/1Pwcxq35Hl2kqwUVd5XCRg,273307,2
"Animal House - From ""National Lampoon's Animal House""",Stephen Bishop,20th Century Masters: The Millennium Collection: Best Of Stephen Bishop,0.742,0.45299999999999996,3,-7.609,1,0.0484,0.68,0.00122,0.11599999999999999,0.8859999999999999,129.29399999999998,7dTADBfpxiBbJYfvAjVCYr,spotify:track:7dTADBfpxiBbJYfvAjVCYr,https://api.spotify.com/v1/tracks/7dTADBfpxiBbJYfvAjVCYr,227867,3
Undone - The Sweater Song,Weezer,Weezer,0.457,0.618,6,-6.682,1,0.0296,0.00114,0.00257,0.0679,0.579,80.184,5WhtlIoxoZrMmuaWWEQhwV,spotify:track:5WhtlIoxoZrMmuaWWEQhwV,https://api.spotify.com/v1/tracks/5WhtlIoxoZrMmuaWWEQhwV,305533,0
Sleepwalker,The Wallflowers,Breach,0.534,0.892,4,-5.04,0,0.027999999999999997,0.000697,0.0,0.109,0.7490000000000001,128.834,5szl1EdOw3CuvItkpGuDHk,spotify:track:5szl1EdOw3CuvItkpGuDHk,https://api.spotify.com/v1/tracks/5szl1EdOw3CuvItkpGuDHk,211027,2
Given To Fly - Live,Pearl Jam,DEEP: 2003,0.39399999999999996,0.945,7,-5.642,1,0.0936,0.265,0.6709999999999999,0.711,0.364,118.73299999999999,6PM2fV2DOxA1ep0zy859UV,spotify:track:6PM2fV2DOxA1ep0zy859UV,https://api.spotify.com/v1/tracks/6PM2fV2DOxA1ep0zy859UV,227147,4
