songname,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,duration_ms,cluster_6_10
Heart On Fire,Eric Church,Heart,0.653,0.927,8,-4.699,1,0.0289,0.0352,4.47e-05,0.0966,0.894,119.97,0ysCB1Jg4hli0XlEWlipo7,spotify:track:0ysCB1Jg4hli0XlEWlipo7,https://api.spotify.com/v1/tracks/0ysCB1Jg4hli0XlEWlipo7,258800,3
Circles Around This Town,Maren Morris,Circles Around This Town,0.591,0.8140000000000001,4,-4.986000000000001,1,0.0468,0.015,0.0,0.11699999999999999,0.815,149.9,13G5xv1wUKvJYbK0wYmioN,spotify:track:13G5xv1wUKvJYbK0wYmioN,https://api.spotify.com/v1/tracks/13G5xv1wUKvJYbK0wYmioN,195760,0
If I Was a Cowboy,Miranda Lambert,If I Was a Cowboy,0.575,0.644,6,-5.68,0,0.0309,0.271,0.0,0.131,0.626,80.07,6F7UOC6fPWOkPqybOWBHSv,spotify:track:6F7UOC6fPWOkPqybOWBHSv,https://api.spotify.com/v1/tracks/6F7UOC6fPWOkPqybOWBHSv,195013,2
Sacrifice,The Weeknd,Dawn FM,0.735,0.795,11,-6.523,0,0.113,0.0296,3.18e-05,0.0678,0.905,122.0,1nH2PkJL1XoUq8oE6tBZoU,spotify:track:1nH2PkJL1XoUq8oE6tBZoU,https://api.spotify.com/v1/tracks/1nH2PkJL1XoUq8oE6tBZoU,188918,2
High,The Chainsmokers,High,0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,3t4KHjd8uQpJJ2fa0fRIpR,spotify:track:3t4KHjd8uQpJJ2fa0fRIpR,https://api.spotify.com/v1/tracks/3t4KHjd8uQpJJ2fa0fRIpR,175163,0
Pressure,Ari Lennox,Pressure,0.85,0.6579999999999999,0,-5.558,1,0.221,0.139,0.0,0.063,0.8320000000000001,144.445,6ElfCM1XppU0YWkkFYh4s2,spotify:track:6ElfCM1XppU0YWkkFYh4s2,https://api.spotify.com/v1/tracks/6ElfCM1XppU0YWkkFYh4s2,193279,5
Federal Nightmares,Lil Durk,7220,0.5770000000000001,0.6809999999999999,11,-6.218999999999999,1,0.201,0.0138,0.0,0.17800000000000002,0.539,83.59700000000001,4W730PJT4aw79pZ9D8BLhl,spotify:track:4W730PJT4aw79pZ9D8BLhl,https://api.spotify.com/v1/tracks/4W730PJT4aw79pZ9D8BLhl,151340,5
I Love You So,The Walters,I Love You So,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,4SqWKzw0CbA05TGszDgMlc,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,160240,3
Banking On Me,Gunna,Banking On Me,0.7929999999999999,0.308,0,-10.414000000000001,0,0.0466,0.613,1.6800000000000002e-05,0.0953,0.46,135.143,7Fege3yv4dvehB3NdRBGwI,spotify:track:7Fege3yv4dvehB3NdRBGwI,https://api.spotify.com/v1/tracks/7Fege3yv4dvehB3NdRBGwI,200000,2
GIVE HEAVEN SOME HELL,HARDY,A ROCK,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.04700000000001,2bVeUlOC5JjTpkQXuUUoYm,spotify:track:2bVeUlOC5JjTpkQXuUUoYm,https://api.spotify.com/v1/tracks/2bVeUlOC5JjTpkQXuUUoYm,217802,0
Bones,Imagine Dragons,Bones,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.5710000000000001,114.071,0HqZX76SFLDz2aW8aiqi7G,spotify:track:0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,165265,2
Pissed Me Off,Lil Durk,7220,0.723,0.516,11,-10.707,0,0.485,0.0031100000000000004,1.26e-06,0.115,0.223,155.967,0fFeockUN32c4z1bguUIQH,spotify:track:0fFeockUN32c4z1bguUIQH,https://api.spotify.com/v1/tracks/0fFeockUN32c4z1bguUIQH,123077,5
I Hate YoungBoy,YoungBoy Never Broke Again,I Hate YoungBoy,0.584,0.7559999999999999,10,-6.245,0,0.36200000000000004,0.0266,0.0,0.36,0.728,165.269,3itijJswMR7p7RbfqlYf1Z,spotify:track:3itijJswMR7p7RbfqlYf1Z,https://api.spotify.com/v1/tracks/3itijJswMR7p7RbfqlYf1Z,261818,5
